Timestamp start: 1684600372478
Timestamp end: 1684602172894

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      354.3   390.5    80.4   139.6   156.9   306.3   385.5   431.1   465.8   509.2   572.0   675.6   982.2  4039.0 14408.1  84177.3    84255
read      357.1   319.7    80.4   140.1   157.7   310.6   391.8   438.1   473.2   518.2   582.2   686.7   993.7  3713.6  9681.7  81761.3    81759
read      371.3   378.9    80.4   139.3   156.4   329.2   411.9   459.5   495.6   540.8   599.8   695.3  1154.5  3452.1 15433.4  37357.5    37291
read      372.3   740.3    86.8   140.5   157.5   324.1   407.6   455.8   492.4   538.3   599.2   695.8  1100.0  4087.7 13539.7  53773.1    53818
read      373.9   436.8    86.8   139.1   156.0   327.7   409.8   457.3   491.9   533.7   589.4   683.2  1160.2  4681.6 15355.8  30345.7    30297
read      365.8   351.2    86.8   138.3   154.8   326.1   407.6   455.0   489.9   532.4   587.8   677.4  1078.9  3528.4 12140.9  31530.1    31569
read      367.6   374.0    86.8   139.1   156.1   325.8   407.1   454.0   489.0   532.8   589.7   683.1  1091.6  4147.4 12310.2  38962.6    38927
read      455.2   861.9    93.8   153.6   178.7   371.3   456.3   515.4   562.9   617.7   682.7   782.8  1694.0  9394.3 32193.2  10610.4    10652
read      447.1   494.7    80.4   155.1   181.2   367.8   450.2   503.8   550.1   618.8   718.5   914.1  1881.3  5342.9 16598.6  98207.0    98119
read      369.5   288.3    80.4   142.4   161.0   331.0   415.2   462.7   499.4   546.4   608.8   705.0  1006.6  2336.2 10883.6  48312.5    48176
read      373.9   278.8    80.4   144.2   162.6   340.9   423.6   469.7   505.4   550.2   611.3   703.1   992.8  2775.1  8963.5  35029.7    34929
read      357.2   274.9    80.4   140.5   157.8   315.9   401.3   450.2   487.0   532.8   593.8   694.6   968.6  2448.1  7678.2  69645.3    69735
read      461.6   415.8    86.8   144.5   164.5   386.8   512.0   612.8   703.3   791.5   876.6   985.7  1183.4  3990.8 15579.4  20731.6    20753
read      368.4   297.7    80.4   142.7   161.7   317.1   400.5   450.5   488.6   537.1   603.7   720.4  1417.2  2844.7  9225.0  84672.9    84642
read      376.2   271.3    80.4   143.9   162.2   343.0   428.6   475.5   511.5   559.2   622.4   716.9   997.8  2115.6  8409.9  42426.1    42333
read      363.3   318.4    80.4   140.4   157.3   321.1   406.2   455.6   492.3   538.7   600.8   698.3  1017.7  2631.1 11994.9  61616.1    61587
read      366.3   315.6    80.4   142.3   160.4   320.1   403.8   452.9   489.4   536.6   602.2   708.5  1031.2  3410.6  9468.7  78176.1    77998
read      351.6   300.0    80.4   143.4   162.1   310.3   387.3   432.4   466.4   508.8   569.9   669.4   919.4  3215.3 10556.6  97416.9    97625
read      442.9   437.3    86.8   140.5   159.3   356.6   480.3   567.5   652.4   759.7   861.2   982.0  1202.7  4004.8 16306.3  23861.5    23781
read      366.2   328.6    80.4   139.4   156.1   315.6   400.3   449.3   486.7   534.3   599.9   714.3  1355.5  3131.1  9845.4  66587.3    66723
read      374.5   318.8    86.8   140.3   157.5   341.2   424.8   472.0   508.2   552.9   608.4   689.7  1012.3  3201.5 10232.8  31186.1    31016
read      374.5   325.4    86.8   140.9   158.4   335.2   418.2   466.0   503.0   550.5   612.7   705.4  1084.2  3582.5 12271.2  47475.7    47394
read      360.2   327.3    86.8   144.3   163.5   316.5   396.3   442.0   476.4   521.1   582.9   685.5   956.6  3557.4 11292.4  95278.2    95335
read      344.7   344.6    93.8   173.0   204.9   315.2   360.5   388.0   408.0   433.7   467.6   520.8   672.1  4711.8 12873.5   5265.3     5252
read      375.5   360.3    86.8   140.8   157.8   321.1   407.1   457.5   495.8   545.2   614.7   732.4  1467.2  3789.1 12755.1  65855.5    65908
read      431.5   430.2    86.8   142.0   160.6   384.0   487.4   564.4   625.6   687.9   756.5   849.0  1015.1  4037.4 12791.6  17038.6    16889
read      381.6   295.9    86.8   140.4   157.7   335.0   420.3   469.8   509.2   561.3   628.5   751.3  1361.5  2904.1  9798.9  42978.6    42912
read      343.1   258.9    80.4   144.0   163.3   304.9   380.1   424.7   458.4   499.6   556.2   651.5   871.4  2713.2  8041.8  99942.3    99898
read      352.7   257.6    80.4   144.0   163.0   326.2   404.0   445.9   475.2   509.5   560.0   636.3   821.0  2787.4 11653.7  26412.8    26385
read      437.1   346.7    80.4   143.4   163.2   372.1   497.9   585.4   652.4   726.8   808.5   919.7  1127.9  3264.7 12146.5  22649.7    22616
read      367.8   290.5    80.4   140.1   158.4   320.4   404.1   452.9   489.7   537.5   603.5   725.4  1311.4  2159.5 11880.7  50619.4    50605
read      339.5   225.9    80.4   139.4   157.8   300.8   379.4   425.3   459.9   502.4   562.1   660.4   886.0  2228.5  7602.9  90238.9    90283
read      352.1   267.6    80.4   144.1   162.7   326.6   404.5   446.1   475.0   509.3   556.9   630.1   804.5  2212.3 11568.0  26207.5    26273
read      357.1   257.4    80.4   141.8   160.6   322.3   403.4   449.0   482.5   524.9   583.0   676.1   941.6  1915.3  9982.4  48562.5    48521
read      359.3   244.6    80.4   142.7   161.3   329.9   410.4   455.2   487.9   528.8   582.7   666.8   883.1  1948.3  8331.6  34045.2    34058
read      347.5   251.5    80.4   138.4   156.0   305.9   388.3   435.0   470.8   515.7   578.5   678.2   929.9  2545.6  7973.3  75580.1    75648
read      419.0   319.0    80.4   143.1   162.9   372.6   480.5   554.7   609.4   670.5   739.2   832.4  1010.0  3802.5 11774.0  19417.8    19482
read      420.6   305.4    80.4   145.0   166.1   384.1   489.4   556.1   599.8   649.2   705.4   788.5   938.5  3648.2 10791.3  15062.2    15054
read      357.1   289.5    80.4   138.3   156.1   301.6   383.8   432.7   469.9   518.7   587.7   714.7  1426.3  2549.9  8538.3  75804.9    75754
read      340.3   282.9    93.8   180.2   210.1   313.7   359.1   386.7   407.0   434.0   468.7   523.7   647.5  4378.0  9480.0   5153.4     5187
read      466.4   386.9    86.8   150.7   174.4   387.6   522.5   632.4   705.5   778.4   856.8   962.3  1175.6  4005.7 13067.0  17561.1    17656
read      344.1   261.5    80.4   139.6   158.0   298.4   373.8   419.8   454.7   498.1   558.7   663.5  1064.9  2728.9  8134.3  96374.2    96343
