Timestamp start: 1684856473470
Timestamp end: 1684858274998

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      301.8   279.1    80.4   128.5   143.0   268.9   333.0   371.6   400.9   436.0   479.7   543.0   729.5  3043.5  8098.5  84330.3    84255
read      301.0   329.3    80.4   128.3   142.7   268.1   331.4   370.0   399.2   433.2   473.8   533.5   690.3  3284.0 10991.6  81707.0    81759
read      294.3   304.6    80.4   126.9   141.6   264.5   323.6   360.1   386.8   417.4   453.7   502.5   695.0  3827.7 10094.9  37201.6    37291
read      297.6   260.2    80.4   127.7   141.6   272.9   334.0   369.2   395.2   426.5   464.9   518.2   687.8  2520.1  8618.5  53885.1    53818
read      297.1   398.3    80.4   128.7   143.3   260.0   323.0   359.6   385.2   413.8   448.2   498.0   744.3  4998.2 12492.1  30306.3    30297
read      293.6   233.1    80.4   129.6   144.5   267.5   329.6   365.6   391.6   421.4   457.4   507.2   672.7  2232.8  9765.4  31516.9    31569
read      300.6   344.4    80.4   128.6   143.4   272.0   331.7   367.9   394.9   426.5   464.5   518.2   725.3  3510.5 11758.8  38894.4    38927
read      351.0   798.4    86.8   134.7   152.9   280.4   339.0   374.2   399.1   427.8   462.3   516.2  1419.8  9921.3 33270.9  10596.0    10652
read      339.7   402.8    80.4   130.5   146.7   273.0   338.9   384.2   420.3   463.2   516.2   619.1  1667.2  3540.2 11756.2  98004.4    98119
read      294.9   238.1    74.4   126.6   140.7   271.1   329.3   364.3   390.1   420.7   458.9   508.6   709.0  2582.0  8571.4  48126.9    48176
read      291.5   305.6    80.4   127.3   141.9   261.1   319.9   355.9   382.3   412.8   450.2   500.1   723.0  2708.1 11538.3  34892.7    34929
read      302.8   294.8    80.4   129.0   143.5   273.5   338.1   375.4   402.7   435.8   476.5   535.6   699.5  2940.6  9460.7  69672.7    69735
read      388.9   784.6    86.8   128.0   142.5   291.0   383.8   454.4   514.8   572.8   637.1   728.0  1249.6 10173.5 31988.1  20648.1    20753
read      317.6   332.8    80.4   129.0   143.7   267.3   332.7   372.9   404.3   443.1   493.7   579.7  1464.3  2880.0  9415.7  84569.0    84642
read      298.5   215.9    80.4   128.2   142.8   274.1   334.1   369.3   395.5   427.5   466.3   523.2   746.6  2394.3  5315.6  42336.9    42333
read      309.8   300.0    80.4   130.1   144.9   280.4   346.0   384.4   412.5   445.9   487.6   547.1   742.8  3075.4 10573.3  61700.1    61587
read      296.2   227.0    80.4   127.9   142.2   268.0   331.7   370.2   398.8   431.9   471.7   531.3   684.0  2424.0  6401.2  78047.9    77998
read      299.9   296.3    80.4   128.1   143.0   264.6   327.1   366.6   397.7   436.0   482.9   548.8   709.6  3376.7  9727.4  97576.9    97625
read      388.2   677.2    86.8   128.3   142.8   286.8   379.8   452.4   528.1   611.3   691.1   795.9  1186.5  9292.8 30885.8  23773.4    23781
read      305.5   244.7    80.4   128.6   143.4   274.0   338.6   376.8   404.9   438.4   479.3   541.4   979.3  2423.3  6327.3  66852.4    66723
read      291.4   329.2    80.4   129.0   143.6   262.6   322.7   358.9   384.4   413.1   447.7   496.1   683.8  2968.9 10325.9  31047.4    31016
read      300.8   272.1    80.4   127.8   142.0   275.0   334.0   368.9   395.1   426.1   463.8   519.2   778.8  2660.9 11914.5  47645.7    47394
read      313.8   276.9    80.4   131.1   146.9   276.3   343.5   386.0   418.8   458.3   507.5   585.8   808.2  2984.0  9365.6  95195.9    95335
read      329.0   927.9    93.8   150.2   173.0   250.5   283.0   301.4   315.1   331.8   353.7   395.7  1852.1 13712.1 33331.1   5271.3     5252
read      406.1   456.1    80.4   128.4   143.0   261.4   335.1   393.7   451.4   578.4  1037.8  1419.6  1846.0  2801.9 10086.5  65675.7    65908
read      338.3   231.2    86.8   130.1   145.3   296.4   384.0   447.3   489.5   531.9   579.4   646.3   790.0  1910.1  8666.0  16805.3    16889
read      443.6   815.8    80.4   128.8   143.7   271.9   362.1   449.9   576.4   817.8   998.6  1168.6  1681.6  9348.8 31972.0  43040.9    42912
read      693.3  1775.9    86.8   173.6   210.5   343.4   474.6   541.9   592.3   689.3  1331.1  1693.8 10100.7 30200.6 36748.4  99946.1    99898
read      431.4  1088.2    80.4   124.5   137.8   268.3   366.4   455.1   580.5   691.6   788.3   932.5  1932.7 12066.2 37544.5  26442.3    26385
read      401.3   771.7    80.4   128.7   143.8   293.7   394.7   484.2   553.9   619.5   688.7   784.1  1140.6 10180.3 31737.9  22648.9    22616
read      399.2   370.5    80.4   132.2   148.1   265.4   341.7   415.9   510.6   754.9   995.9  1193.8  1472.9  1889.8  9525.2  50654.1    50605
read      710.2   728.9    86.8   190.7   218.3   400.8   569.2  1294.5  1412.1  1526.8  1636.2  1805.1  2706.0  5590.1 18506.6  90064.9    90283
read      310.4   255.7    80.4   134.3   150.3   281.6   344.9   380.4   405.1   436.3   477.8   544.9   912.9  2180.7  8643.7  26214.9    26273
read      315.3   186.7    80.4   133.8   149.9   295.2   359.1   396.1   424.3   458.3   500.9   563.3   730.5  1548.0  5771.5  48503.4    48521
read      306.9   192.9    80.4   134.2   150.9   287.6   348.9   383.7   408.9   439.9   480.1   537.5   681.8  1367.6  7708.0  34086.6    34058
read      315.9   195.9    80.4   136.2   152.1   288.0   356.1   396.4   427.0   463.6   509.6   581.6   751.7  1933.5  5731.1  75673.0    75648
read      358.1   367.5    80.4   137.6   154.0   299.4   379.4   435.6   492.2   565.4   645.1   744.9   975.4  2838.6 12071.5  19496.6    19482
read      348.5   312.1    86.8   133.3   149.3   301.2   388.8   454.4   497.4   540.4   589.7   661.4   797.6  3061.9 13038.1  15038.1    15054
read      328.9   277.7    80.4   132.2   147.8   282.2   351.4   394.8   427.7   467.0   518.8   605.9  1477.7  2509.4  7931.4  75906.3    75754
read      293.4   593.4    93.8   153.6   176.1   255.9   289.2   308.3   321.7   339.5   362.1   397.7   517.9  7305.9 30341.6   5176.9     5187
read      388.6   397.6    86.8   136.7   153.3   300.7   411.1   520.2   592.7   659.7   726.2   817.5  1018.2  4019.6 14217.1  17542.3    17656
read      400.9   422.7    80.4   139.7   159.8   317.1   395.3   447.0   488.8   543.9   625.3   853.6  1913.0  3193.3 13329.3  96274.0    96343
read      303.9   264.8    80.4   130.7   145.8   277.3   336.8   371.7   398.2   430.1   468.0   521.9   748.3  3123.2  9138.0  36548.3    36665
read      312.7   243.1    80.4   131.1   146.5   280.1   345.7   387.3   419.5   458.8   507.5   579.3   764.3  2591.3  9209.0  85154.1    85269
read      311.4   296.8    80.4   133.2   149.5   284.0   345.8   382.6   409.4   442.2   481.0   536.7   725.9  2515.2 10158.5  31599.0    31525
read      316.3   288.3    80.4   132.5   147.8   287.6   354.7   394.2   423.5   458.1   500.1   560.5   747.5  2491.7 11652.9  61905.1    61798
read      329.6   320.7    86.8   136.2   153.7   291.2   358.4   401.9   435.2   472.8   517.9   582.0   744.2  4696.9 15360.9  12206.4    12253
read      393.2   314.6    80.4   134.0   150.3   289.3   397.6   507.8   619.8   717.0   808.3   950.2  1144.8  2222.4  9669.0  25601.1    25710
read      310.0   197.9    80.4   131.2   147.5   280.9   346.1   384.8   414.0   450.5   497.6   571.0   757.9  2215.7  5789.3  79892.1    79937
read      283.9   327.1    86.8   148.4   168.9   265.1   302.8   325.0   342.2   362.9   388.6   426.6   515.2  3718.8 11845.4   7326.1     7271
read      360.5   338.5    80.4   133.4   150.9   288.3   358.4   402.2   437.2   482.3   545.7   723.1  1738.2  2880.7  8792.0  85650.6    85861
read      300.5   173.9    80.4   129.6   145.4   273.7   337.7   375.2   404.2   441.6   491.3   564.2   713.4  1282.2  4394.7  91510.6    91467
read      301.1   173.6    80.4   130.0   145.6   278.8   343.0   379.9   406.7   440.0   483.4   546.8   683.5  1387.0  6025.6  72085.6    72217
read      291.0   200.6    80.4   131.1   147.4   272.4   331.9   364.9   388.0   414.4   448.6   499.0   614.7  1449.5  7012.4  31164.7    31080
read      304.5   184.2    80.4   130.7   146.8   280.7   345.4   382.9   410.4   445.2   490.9   558.0   700.0  1392.6  6062.9  76881.6    76878
